Index,Date,Temperature
243,1795-04-01,10.2
244,1795-05-01,13.0
245,1795-06-01,16.5
246,1795-07-01,15.1
247,1795-08-01,16.8
248,1795-09-01,12.8
249,1795-10-01,11.1
250,1795-11-01,2.6
251,1795-12-01,2.7
252,1796-01-01,4.1
253,1796-02-01,1.8
254,1796-03-01,0.9
255,1796-04-01,6.8
256,1796-05-01,13.3
257,1796-06-01,15.3
258,1796-07-01,17.0
259,1796-08-01,17.1
260,1796-09-01,15.1
261,1796-10-01,9.0
262,1796-11-01,6.2
263,1796-12-01,-1.1
264,1797-01-01,0.3
265,1797-02-01,1.7
266,1797-03-01,3.0
267,1797-04-01,10.5
268,1797-05-01,15.8
269,1797-06-01,16.0
270,1797-07-01,23.4
271,1797-08-01,18.0
272,1797-09-01,15.1
273,1797-10-01,9.8
274,1797-11-01,4.3
275,1797-12-01,1.5
276,1798-01-01,0.8
277,1798-02-01,3.4
278,1798-03-01,5.0
279,1798-04-01,9.1
280,1798-05-01,13.4
281,1798-06-01,16.0
282,1798-07-01,17.0
283,1798-08-01,17.1
284,1798-09-01,14.7
285,1798-10-01,8.0
286,1798-11-01,5.4
287,1798-12-01,0.5
288,1799-01-01,-1.4
289,1799-02-01,1.8
290,1799-03-01,2.8
291,1799-04-01,8.0
292,1799-05-01,12.6
293,1799-06-01,14.2
294,1799-07-01,16.4
295,1799-08-01,17.0
296,1799-09-01,12.7
297,1799-10-01,8.6
298,1799-11-01,4.1
299,1799-12-01,-2.6
300,1800-01-01,-0.5
301,1800-02-01,0.3
302,1800-03-01,0.0
303,1800-04-01,13.9
304,1800-05-01,14.8
305,1800-06-01,13.7
306,1800-07-01,16.3
307,1800-08-01,17.6
308,1800-09-01,13.3
309,1800-10-01,7.9
310,1800-11-01,5.4
311,1800-12-01,0.6
312,1801-01-01,0.6
313,1801-02-01,0.5
314,1801-03-01,6.1
315,1801-04-01,9.2
316,1801-05-01,14.7
317,1801-06-01,14.5
318,1801-07-01,16.7
319,1801-08-01,15.2
320,1801-09-01,14.4
321,1801-10-01,10.4
322,1801-11-01,5.3
323,1801-12-01,1.2
324,1802-01-01,-1.7
325,1802-02-01,-0.7
326,1802-03-01,4.5
327,1802-04-01,9.1
328,1802-05-01,11.8
329,1802-06-01,16.6
330,1802-07-01,17.8
331,1802-08-01,18.1
332,1802-09-01,13.4
333,1802-10-01,11.5
334,1802-11-01,5.5
335,1802-12-01,1.8
336,1803-01-01,-4.0
337,1803-02-01,-3.2
